"gear","count","percent"
"Bait",43,30.2816901408451
"Bait, Lure",5,3.52112676056338
"Bait/Fly",1,0.704225352112676
"Bait/Fly/Lure",1,0.704225352112676
"Bait/Lure",8,5.63380281690141
"Bait/Troll",2,1.40845070422535
"Fly",8,5.63380281690141
"Fly/Lure",4,2.8169014084507
"Lure",52,36.6197183098592
"Lure, Bait",1,0.704225352112676
"Lure, Fly",2,1.40845070422535
"Troll",13,9.15492957746479
"Troll/Lure",1,0.704225352112676
NA,1,0.704225352112676
