"month","gear","count","percent"
4,"b",38,5.4519368723099
4,"b/l",2,0.286944045911047
4,"f",3,0.430416068866571
4,"j",2,0.286944045911047
4,"t",12,1.72166427546628
4,"t/b",1,0.143472022955524
5,"b",92,13.1994261119082
5,"b/l",1,0.143472022955524
5,"f",1,0.143472022955524
5,"j",11,1.57819225251076
5,"l",1,0.143472022955524
5,"t",26,3.73027259684362
5,"t/b",4,0.573888091822095
5,"t/j",1,0.143472022955524
6,"b",67,9.61262553802009
6,"b/f",2,0.286944045911047
6,"b/j",1,0.143472022955524
6,"b/l",10,1.43472022955524
6,"j",4,0.573888091822095
6,"l",6,0.860832137733142
6,"l/j",3,0.430416068866571
6,"t",8,1.14777618364419
6,"t/b",5,0.717360114777618
6,"t/j",1,0.143472022955524
6,"t/l",2,0.286944045911047
7,"b",80,11.4777618364419
7,"b/f",2,0.286944045911047
7,"b/j",2,0.286944045911047
7,"b/l",20,2.86944045911047
7,"bl",2,0.286944045911047
7,"f",2,0.286944045911047
7,"j",2,0.286944045911047
7,"l",6,0.860832137733142
7,"l/j",2,0.286944045911047
7,"l/s",1,0.143472022955524
7,"spear",1,0.143472022955524
7,"t",21,3.012912482066
7,"t/b",8,1.14777618364419
7,"t/l",1,0.143472022955524
7,"tl",1,0.143472022955524
8,"b",73,10.4734576757532
8,"b/f",2,0.286944045911047
8,"b/j",1,0.143472022955524
8,"b/l",23,3.29985652797704
8,"l",2,0.286944045911047
8,"l/j",5,0.717360114777618
8,"l/j/f",1,0.143472022955524
8,"l/s",1,0.143472022955524
8,"t",16,2.29555236728838
8,"t/b",5,0.717360114777618
8,"t/j",1,0.143472022955524
8,"t/l",2,0.286944045911047
9,"b",65,9.32568149210904
9,"b/f",2,0.286944045911047
9,"b/l",20,2.86944045911047
9,"j",1,0.143472022955524
9,"l",3,0.430416068866571
9,"l/j",2,0.286944045911047
9,"l/s",1,0.143472022955524
9,"t",5,0.717360114777618
9,"t/b",6,0.860832137733142
9,"t/j",1,0.143472022955524
9,"t/l",3,0.430416068866571
9,"t/s",1,0.143472022955524
